# time   signal
0.000000000000000000e+00 9.976996443506732248e+01
3.095338983050847403e+01 9.729603102149970084e+01
6.190677966101694807e+01 1.048615672303014037e+02
9.286016949152542566e+01 1.020914458656484669e+02
1.238135593220338961e+02 1.083887256713682206e+02
1.547669491525423666e+02 1.025122855339479742e+02
1.857203389830508513e+02 9.783021205241446694e+01
2.166737288135593360e+02 1.000964623793732358e+02
2.476271186440677923e+02 9.025049479310987977e+01
2.785805084745762770e+02 8.356906571573709641e+01
3.095338983050847332e+02 1.023135374067584706e+02
3.404872881355932464e+02 9.540813156330986544e+01
3.714406779661017026e+02 9.946386997633081251e+01
4.023940677966101589e+02 9.885051268933014512e+01
4.333474576271186720e+02 9.625646679873857181e+01
4.643008474576270714e+02 1.017274824602357057e+02
4.952542372881355845e+02 9.304502552064370491e+01
5.262076271186440408e+02 9.915286963003227072e+01
5.571610169491525539e+02 1.053537659324761364e+02
5.881144067796609534e+02 1.109018209492595162e+02
6.190677966101694665e+02 9.438414977742463918e+01
6.500211864406779796e+02 9.652227068926697484e+01
6.809745762711864927e+02 1.009055301113750716e+02
7.119279661016948921e+02 9.742445775334569191e+01
7.428813559322034052e+02 9.654127613428882171e+01
7.738347457627118047e+02 9.865645716840128898e+01
8.047881355932203178e+02 1.023814683636834673e+02
8.357415254237288309e+02 1.095266417653765956e+02
8.666949152542373440e+02 1.130767381397483007e+02
8.976483050847458571e+02 1.045142361387615182e+02
9.286016949152541429e+02 9.437868543843738678e+01
9.595550847457627697e+02 1.019940707566537696e+02
9.905084745762711691e+02 9.570851075973294542e+01
1.021461864406779569e+03 1.003635780780379321e+02
1.052415254237288082e+03 1.032256415320127019e+02
1.083368644067796595e+03 1.020263957979305616e+02
1.114322033898305108e+03 1.002002251578107348e+02
1.145275423728813621e+03 1.062905790086230695e+02
1.176228813559321907e+03 1.008169144909995651e+02
1.207182203389830647e+03 1.099884514885890354e+02
1.238135593220338933e+03 9.680652653159637566e+01
1.269088983050847446e+03 9.950059065434938077e+01
1.300042372881355959e+03 8.923816615731368529e+01
1.330995762711864245e+03 9.372209362700183988e+01
1.361949152542372985e+03 9.945422382486802348e+01
1.392902542372881271e+03 1.062124564705571572e+02
1.423855932203389784e+03 9.512691078535883094e+01
1.454809322033898297e+03 1.003550897295555444e+02
1.485762711864406810e+03 1.077715585323674645e+02
1.516716101694915324e+03 1.075950278717823920e+02
1.547669491525423609e+03 1.114980806409976708e+02
1.578622881355932350e+03 9.923199640250106768e+01
1.609576271186440636e+03 1.037978837015442650e+02
1.640529661016949149e+03 1.102482891819220896e+02
1.671483050847457662e+03 8.860873350954142325e+01
1.702436440677965948e+03 9.732639112602554121e+01
1.733389830508474688e+03 9.943422785832112254e+01
1.764343220338982974e+03 9.772395552048172362e+01
1.795296610169491714e+03 9.915740172600878566e+01
1.826250000000000000e+03 1.028682119276926699e+02
