# time   signal
0.000000000000000000e+00 1.030086064686959446e+02
3.095338983050847403e+01 1.077887580502775506e+02
6.190677966101694807e+01 9.670174055973814120e+01
9.286016949152542566e+01 1.051088591180450891e+02
1.238135593220338961e+02 9.951159998441184484e+01
1.547669491525423666e+02 1.058878990262144129e+02
1.857203389830508513e+02 9.879396998699878907e+01
2.166737288135593360e+02 8.989533041513210776e+01
2.476271186440677923e+02 9.325630499880753632e+01
2.785805084745762770e+02 9.407396727425047800e+01
3.095338983050847332e+02 9.697771982749112851e+01
3.404872881355932464e+02 9.381193304464082416e+01
3.714406779661017026e+02 1.010858643920076219e+02
4.023940677966101589e+02 1.094099818879884651e+02
4.333474576271186720e+02 1.057057581573640448e+02
4.643008474576270714e+02 9.877754415727004300e+01
4.952542372881355845e+02 9.943719302841067531e+01
5.262076271186440408e+02 1.077741395098719579e+02
5.571610169491525539e+02 9.591712588113665561e+01
5.881144067796609534e+02 1.009870971293484132e+02
6.190677966101694665e+02 9.606196133692851902e+01
6.500211864406779796e+02 9.188018102859274450e+01
6.809745762711864927e+02 9.332712719116383937e+01
7.119279661016948921e+02 1.039806056872963467e+02
7.428813559322034052e+02 9.372652449182497492e+01
7.738347457627118047e+02 1.094834524214859215e+02
8.047881355932203178e+02 1.018542252853806218e+02
8.357415254237288309e+02 9.923964116964855009e+01
8.666949152542373440e+02 1.050861404055390977e+02
8.976483050847458571e+02 1.017634983368119066e+02
9.286016949152541429e+02 1.057912932823258529e+02
9.595550847457627697e+02 9.464036091618262958e+01
9.905084745762711691e+02 9.574293695104361746e+01
1.021461864406779569e+03 1.008671717125666873e+02
1.052415254237288082e+03 9.415603890186000058e+01
1.083368644067796595e+03 9.400967579969690746e+01
1.114322033898305108e+03 9.059111108721077699e+01
1.145275423728813621e+03 1.075322225403712508e+02
1.176228813559321907e+03 9.350871713509383198e+01
1.207182203389830647e+03 1.051754794470411838e+02
1.238135593220338933e+03 1.009299641530679992e+02
1.269088983050847446e+03 1.007821712079892507e+02
1.300042372881355959e+03 1.064542665023994346e+02
1.330995762711864245e+03 1.033216159351202919e+02
1.361949152542372985e+03 1.030302421304164824e+02
1.392902542372881271e+03 1.004850206331370401e+02
1.423855932203389784e+03 9.905357384399579246e+01
1.454809322033898297e+03 9.769966661266795427e+01
1.485762711864406810e+03 8.995224837495140946e+01
1.516716101694915324e+03 1.055986328498887588e+02
1.547669491525423609e+03 1.104669872580174541e+02
1.578622881355932350e+03 1.003942019551198541e+02
1.609576271186440636e+03 1.037700036777483632e+02
1.640529661016949149e+03 9.420381204049236601e+01
1.671483050847457662e+03 1.031273126832224989e+02
1.702436440677965948e+03 9.527182304891364595e+01
1.733389830508474688e+03 8.392267180699417395e+01
1.764343220338982974e+03 9.827766452248229712e+01
1.795296610169491714e+03 9.999257450014036408e+01
1.826250000000000000e+03 9.182542436307548428e+01
